   160    80
  0.00000000000000e+00  2.80000000000000e+01
  1.69217639502641e+00  2.80000000000000e+01
  3.38429493229409e+00  2.79952473027927e+01
  5.07328734349918e+00  2.78969628862187e+01
  6.74745882210899e+00  2.76558025827044e+01
  8.38261856104592e+00  2.72246571854847e+01
  9.94704419643613e+00  2.65828058903637e+01
  1.14304903597612e+01  2.57699359498188e+01
  1.28457731085218e+01  2.48428836483275e+01
  1.42089746908742e+01  2.38405475500419e+01
  1.55349354780673e+01  2.27893174611608e+01
  1.68359528657147e+01  2.17073105854230e+01
  1.81230808498473e+01  2.06087899198070e+01
  1.94067393538640e+01  1.95062105598991e+01
  2.06968795302716e+01  1.84112324262949e+01
  2.19977446955673e+01  1.73290176269213e+01
  2.33083076381390e+01  1.62585651378813e+01
  2.46272936145871e+01  1.51985065662898e+01
  2.59533781187580e+01  1.41473396813621e+01
  2.72851958320619e+01  1.31034446092102e+01
  2.86213490660635e+01  1.20651033813596e+01
  2.99604162301102e+01  1.10305218607529e+01
  3.13018494650441e+01  9.99901079481493e+00
  3.26490022955864e+01  8.97498652036903e+00
  3.40063774513802e+01  7.96456222320057e+00
  3.53786297066063e+01  6.97445501425756e+00
  3.67706130753370e+01  6.01231390994978e+00
  3.81873957763260e+01  5.08712269221535e+00
  3.96342090082052e+01  4.20970533001878e+00
  4.11159250615799e+01  3.39269779495698e+00
  4.26340327297827e+01  2.64553525506471e+00
  4.41877713007755e+01  1.97567997963833e+00
  4.57754633237814e+01  1.39091978085585e+00
  4.73943381723044e+01  8.99136289818743e-01
  4.90403858165661e+01  5.07943798486107e-01
  5.07082948476631e+01  2.24232753735931e-01
  5.23915187393070e+01  5.36578277838569e-02
  5.40825032113668e+01  0.00000000000000e+00
  5.57746796063934e+01  0.00000000000000e+00
  5.74668560014201e+01  0.00000000000000e+00
  5.91590323964467e+01  0.00000000000000e+00
  6.08512087914734e+01  0.00000000000000e+00
  6.25433851865000e+01  0.00000000000000e+00
  6.42355615815267e+01  0.00000000000000e+00
  6.59277379765533e+01  0.00000000000000e+00
  6.76199143715800e+01  0.00000000000000e+00
  6.93120907666066e+01  0.00000000000000e+00
  7.10042671616333e+01  0.00000000000000e+00
  7.26964435566599e+01  0.00000000000000e+00
  7.43886199516866e+01  0.00000000000000e+00
  7.60807963467132e+01  0.00000000000000e+00
  7.77729727417398e+01  0.00000000000000e+00
  7.94651491367665e+01  0.00000000000000e+00
  8.11573255317932e+01  0.00000000000000e+00
  8.28495019268198e+01  0.00000000000000e+00
  8.45416783218464e+01  0.00000000000000e+00
  8.62338547168731e+01  0.00000000000000e+00
  8.79260311118998e+01  0.00000000000000e+00
  8.96182075069264e+01  0.00000000000000e+00
  9.13103839019530e+01  0.00000000000000e+00
  9.30025602969797e+01  0.00000000000000e+00
  9.46947366920064e+01  0.00000000000000e+00
  9.63869130870330e+01  0.00000000000000e+00
  9.80790894820597e+01  0.00000000000000e+00
  9.97712658770863e+01  0.00000000000000e+00
  1.01463442272113e+02  0.00000000000000e+00
  1.03155618667140e+02  0.00000000000000e+00
  1.04847795062166e+02  0.00000000000000e+00
  1.06539971457193e+02  0.00000000000000e+00
  1.08232147852220e+02  0.00000000000000e+00
  1.09924324247246e+02  0.00000000000000e+00
  1.11616500642273e+02  0.00000000000000e+00
  1.13308677037300e+02  0.00000000000000e+00
  1.15000853432326e+02  0.00000000000000e+00
  1.16693029827353e+02  0.00000000000000e+00
  1.18385206222379e+02  0.00000000000000e+00
  1.20077382617406e+02  0.00000000000000e+00
  1.21769559012433e+02  0.00000000000000e+00
  1.23461735407459e+02  0.00000000000000e+00
  1.25153911802486e+02  0.00000000000000e+00
  1.26846088197513e+02  0.00000000000000e+00
  1.28538264592539e+02  0.00000000000000e+00
  1.30230440987566e+02  0.00000000000000e+00
  1.31922617382593e+02  0.00000000000000e+00
  1.33614793777619e+02  0.00000000000000e+00
  1.35306970172646e+02  0.00000000000000e+00
  1.36999146567673e+02  0.00000000000000e+00
  1.38691322962699e+02  0.00000000000000e+00
  1.40383499357726e+02  0.00000000000000e+00
  1.42075675752753e+02  0.00000000000000e+00
  1.43767852147779e+02  0.00000000000000e+00
  1.45460028542806e+02  0.00000000000000e+00
  1.47152204937832e+02  0.00000000000000e+00
  1.48844381332859e+02  0.00000000000000e+00
  1.50536557727886e+02  0.00000000000000e+00
  1.52228734122912e+02  0.00000000000000e+00
  1.53920910517939e+02  0.00000000000000e+00
  1.55613086912966e+02  0.00000000000000e+00
  1.57305263307992e+02  0.00000000000000e+00
  1.58997439703019e+02  0.00000000000000e+00
